VendorNumber,VendorName,Brand,Description,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,GrossProfit,GrossMarginPct,SalesToPurchaseRatio,TotalBeginInventory,TotalEndInventory,AvgInventory,InventoryTurnoverRatio
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",90085,"Ch Lilian 09 Ladouys St Este",8,190.88,0.97,18,665.82,2.00,474.94,71.33,2.25,16,6,11.0000,1.64
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",90609,"Flavor Essence Variety 5 Pak",320,5440.00,261.10,24,599.76,0.52,-4840.24,-807.03,0.08,NULL,NULL,NULL,NULL
54,"AAPER ALCOHOL & CHEMICAL CO",990,"Ethyl Alcohol 200 Proof",1,105.07,0.00,0,0.00,0.00,-105.07,NULL,0.00,NULL,NULL,NULL,NULL
60,"ADAMBA IMPORTS INTL INC    ",771,"Bak's Krupnik Honey Liqueur",39,446.16,7.92,47,704.53,37.01,258.37,36.67,1.21,10,2,6.0000,7.83
60,"ADAMBA IMPORTS INTL INC    ",3401,"Vesica Vodka",6,66.60,13.71,0,0.00,0.00,-66.60,NULL,0.00,NULL,NULL,NULL,NULL
60,"ADAMBA IMPORTS INTL INC    ",3979,"Vesica Potato Vodka",4687,76257.49,4703.31,3931,66871.69,7224.06,-9385.80,-14.04,0.84,NULL,NULL,NULL,NULL
105,"ALTAMAR BRANDS LLC         ",2529,"Right Gin",12,279.00,3.12,12,359.88,9.44,80.88,22.47,1.00,NULL,NULL,NULL,NULL
105,"ALTAMAR BRANDS LLC         ",8412,"Tequila Ocho Plata Fresno",320,11427.20,75.44,307,15346.93,242.15,3919.73,25.54,0.96,135,148,141.5000,2.17
200,"AMERICAN SPIRITS EXCHANGE  ",19715,"Slices Sangria Red",36,271.08,1.64,19,208.81,2.10,-62.27,-29.82,0.53,NULL,NULL,NULL,NULL
200,"AMERICAN SPIRITS EXCHANGE  ",20789,"Zin-phomaniac Znfdl",96,934.08,7.50,84,1511.16,9.43,577.08,38.19,0.88,12,24,18.0000,4.67
287,"APPOLO VINEYARDS LLC       ",24921,"Appolo Vyds Seyval",120,1248.00,8.26,48,715.52,5.28,-532.48,-74.42,0.40,161,233,197.0000,0.24
287,"APPOLO VINEYARDS LLC       ",24922,"Appolo Vyds China Girl",110,1151.70,9.78,60,901.40,6.62,-250.30,-27.77,0.55,165,215,190.0000,0.32
388,"ATLANTIC IMPORTING COMPANY ",2034,"Glendalough Double Barrel",1777,37885.64,1267.22,1587,45645.13,1251.86,7759.49,17.00,0.89,262,452,357.0000,4.45
388,"ATLANTIC IMPORTING COMPANY ",2119,"Glendalough 13 Yr Sngle Malt",39,2589.60,43.51,115,9838.85,90.70,7249.25,73.68,2.95,151,75,113.0000,1.02
388,"ATLANTIC IMPORTING COMPANY ",7241,"Glendalough Poitin Shry Cask",31,641.08,34.74,123,3788.77,13.59,3147.69,83.08,3.97,92,0,46.0000,2.67
480,"BACARDI USA INC            ",126,"Grey Goose Vodka",59878,1205942.92,4219777.59,58013,1736610.87,60913.65,530667.95,30.56,0.97,2599,4464,3531.5000,16.43
480,"BACARDI USA INC            ",128,"Grey Goose Le Citron Vodka",4,97.68,778.00,4,122.96,4.20,25.28,20.56,1.00,5,5,5.0000,0.80
480,"BACARDI USA INC            ",129,"Grey Goose L'Orange Vodka",4,99.96,1454.61,9,284.91,9.45,184.95,64.92,2.25,10,5,7.5000,1.20
480,"BACARDI USA INC            ",201,"Nassua Royale Liqueur",34,525.98,8797.84,36,701.64,37.80,175.66,25.04,1.06,2,0,1.0000,36.00
480,"BACARDI USA INC            ",278,"Cazadores Reposado Tequila",80,1756.80,12214.26,69,1997.31,72.45,240.51,12.04,0.86,4,15,9.5000,7.26
480,"BACARDI USA INC            ",443,"St Germain Liqueur",7748,189438.60,1534234.34,7705,273863.95,6070.72,84425.35,30.83,0.99,1175,1218,1196.5000,6.44
480,"BACARDI USA INC            ",508,"Bacardi Superior Rum",38957,380609.89,3097912.91,38335,522309.15,40251.75,141699.26,27.13,0.98,2207,2829,2518.0000,15.22
480,"BACARDI USA INC            ",540,"Bacardi Pineapple Fusion",352,253.44,25822.91,4657,4610.43,239.91,4356.99,94.50,13.23,4542,237,2389.5000,1.95
480,"BACARDI USA INC            ",565,"Bombay Dry Gin",173,2684.96,37576.38,173,3563.27,181.65,878.31,24.65,1.00,89,89,89.0000,1.94
480,"BACARDI USA INC            ",743,"Angels Envy Whiskey",3333,121654.50,581312.07,3216,160767.84,2533.55,39113.34,24.33,0.96,227,344,285.5000,11.26
480,"BACARDI USA INC            ",802,"Bacardi Torched Cherry Rum",5049,40341.51,614582.11,4962,57060.38,3910.70,16718.87,29.30,0.98,934,1021,977.5000,5.08
480,"BACARDI USA INC            ",803,"Bacardi Gold Rum",1300,12896.00,32183.94,1250,16410.00,1312.50,3514.00,21.41,0.96,7,57,32.0000,39.06
480,"BACARDI USA INC            ",804,"Bacardi Limon Rum",297,3433.32,62764.15,275,4039.75,288.75,606.43,15.01,0.93,110,132,121.0000,2.27
480,"BACARDI USA INC            ",805,"B & B Liqueur Dom",10,263.90,9143.72,12,395.88,12.60,131.98,33.34,1.20,18,16,17.0000,0.71
480,"BACARDI USA INC            ",810,"Bacardi Black Razz",2283,16414.77,233599.91,3153,37736.47,2484.35,21321.70,56.50,1.38,870,0,435.0000,7.25
480,"BACARDI USA INC            ",824,"Dewars White Label Scotch",6787,140898.12,785243.60,6617,178592.83,6947.85,37694.71,21.11,0.98,727,897,812.0000,8.15
480,"BACARDI USA INC            ",903,"Bombay Sapphire Gin",9534,179143.86,1190701.54,9465,251306.35,9938.25,72162.49,28.71,0.99,873,942,907.5000,10.43
480,"BACARDI USA INC            ",973,"Bacardi 1873 Solera Rum",21,249.90,4930.85,157,2353.43,123.75,2103.53,89.38,7.48,136,0,68.0000,2.31
480,"BACARDI USA INC            ",974,"Bacardi O Orange Rum",59,725.11,14231.24,49,741.51,51.45,16.40,2.21,0.83,26,36,31.0000,1.58
480,"BACARDI USA INC            ",1020,"B & B Dom VAP",2,36.22,1630.26,52,1319.48,41.01,1283.26,97.26,26.00,50,0,25.0000,2.08
480,"BACARDI USA INC            ",1047,"Angels Envy Hanover Chop",6,212.28,699.36,6,275.94,4.73,63.66,23.07,1.00,NULL,NULL,NULL,NULL
480,"BACARDI USA INC            ",1106,"Aberfeldy Single Cask",54,8399.70,23133.15,38,9459.62,29.96,1059.92,11.20,0.70,252,268,260.0000,0.15
480,"BACARDI USA INC            ",1330,"Grey Goose Glass Pack",2403,91962.81,17701.16,2690,136831.10,4943.32,44868.29,32.79,1.12,340,53,196.5000,13.69
480,"BACARDI USA INC            ",1414,"Bacardi 8 Gift Set",5,71.40,1165.15,35,869.65,27.57,798.25,91.79,7.00,30,0,15.0000,2.33
480,"BACARDI USA INC            ",1757,"Aberfeldy 21 Yr Single Malt",14,1634.92,4110.96,18,2879.82,14.19,1244.90,43.23,1.29,28,24,26.0000,0.69
480,"BACARDI USA INC            ",2123,"Angel's Envy Rye",295,17098.20,110901.76,431,34475.69,339.84,17377.49,50.41,1.46,162,26,94.0000,4.59
480,"BACARDI USA INC            ",2184,"Bonnie Rose Orange Peel",290,3294.40,40588.19,535,8035.65,421.61,4741.25,59.00,1.84,394,149,271.5000,1.97
480,"BACARDI USA INC            ",2200,"Bonnie Rose Spiced Apple",269,2899.82,36950.89,493,7419.07,388.63,4519.25,60.91,1.83,362,138,250.0000,1.97
480,"BACARDI USA INC            ",2258,"Dewars Special Reserve 12 Yr",5326,52035.02,486282.97,4850,66365.50,1901.20,14330.48,21.59,0.91,338,814,576.0000,8.42
